ct_label,year,n_papers,n_unique_doi,mean_citations,median_citations,total_citations,mean_altmetric,total_altmetric,mean_mendeley_readers,total_mendeley_readers,share_oa,mean_ct_score
none,1991,3,3,27.0,7.0,81.0,0.0,0.0,30.666666666666668,92.0,0.0,0.0
none,1992,7,7,474.85714285714283,9.0,3324.0,0.5714285714285714,4.0,229.85714285714286,1609.0,0.14285714285714285,0.0
none,1993,14,14,12.428571428571429,3.0,174.0,0.20357142857142857,2.85,12.214285714285714,171.0,0.0,0.0
none,1994,14,14,50.42857142857143,11.0,706.0,0.25,3.5,37.785714285714285,529.0,0.21428571428571427,0.0
none,1995,6,6,93.66666666666667,31.5,562.0,0.0,0.0,55.166666666666664,331.0,0.0,0.0
none,1996,20,20,52.35,11.5,1047.0,1.65,33.0,47.15,943.0,0.1,0.0
none,1997,25,25,19.92,19.0,498.0,0.28,7.0,18.92,473.0,0.08,0.0
none,1998,11,11,31.09090909090909,12.0,342.0,0.3181818181818182,3.5,34.54545454545455,380.0,0.0,0.0
none,1999,12,12,29.583333333333332,13.0,355.0,0.0,0.0,42.083333333333336,505.0,0.16666666666666666,0.0
none,2000,6,6,100.16666666666667,35.0,601.0,7.291666666666668,43.75000000000001,106.5,639.0,0.3333333333333333,0.0
none,2001,23,23,48.91304347826087,34.0,1125.0,1.673913043478261,38.5,97.73913043478261,2248.0,0.043478260869565216,0.0
none,2002,18,18,26.38888888888889,12.5,475.0,0.19444444444444445,3.5,40.666666666666664,732.0,0.1111111111111111,0.0
none,2003,28,28,13.321428571428571,4.0,373.0,0.5357142857142857,15.0,43.107142857142854,1207.0,0.10714285714285714,0.0
none,2004,30,30,24.6,9.0,738.0,0.7,21.0,42.63333333333333,1279.0,0.06666666666666667,0.0
none,2005,32,32,56.84375,6.5,1819.0,1.0390625,33.25,104.125,3332.0,0.15625,0.0
none,2006,32,32,41.03125,6.5,1313.0,0.75,24.0,85.15625,2725.0,0.15625,0.0
none,2007,46,46,49.04347826086956,7.5,2256.0,1.297826086956522,59.7,72.78260869565217,3348.0,0.17391304347826086,0.0
none,2008,43,43,21.627906976744185,6.0,930.0,0.3372093023255814,14.5,35.93023255813954,1545.0,0.16279069767441862,0.0
none,2009,60,60,48.483333333333334,6.5,2909.0,1.1141666666666665,66.85,79.4,4764.0,0.15,0.0
none,2010,45,45,67.4888888888889,7.0,3037.0,1.1666666666666667,52.5,97.93333333333334,4407.0,0.17777777777777778,0.0
none,2011,73,73,33.136986301369866,7.0,2419.0,1.7616438356164383,128.6,61.136986301369866,4463.0,0.2054794520547945,0.0
none,2012,62,62,21.516129032258064,6.5,1334.0,0.7572580645161291,46.95,46.306451612903224,2871.0,0.25806451612903225,0.0
none,2013,88,88,35.18181818181818,8.0,3096.0,2.3693181818181817,208.5,76.57954545454545,6739.0,0.22727272727272727,0.0
none,2014,70,70,36.25714285714286,5.0,2538.0,5.135000000000001,359.45000000000005,72.05714285714286,5044.0,0.24285714285714285,0.0
none,2015,98,98,32.53061224489796,7.0,3188.0,4.873469387755102,477.6,66.3265306122449,6500.0,0.2755102040816326,0.0
none,2016,77,77,29.51948051948052,6.0,2273.0,12.953896103896103,997.4499999999999,66.44155844155844,5116.0,0.3246753246753247,0.0
none,2017,95,95,34.189473684210526,10.0,3248.0,7.105263157894734,674.9999999999997,70.49473684210527,6697.0,0.3473684210526316,0.0
none,2018,105,105,26.36190476190476,8.0,2768.0,5.132380952380952,538.9,58.733333333333334,6167.0,0.37142857142857144,0.0
none,2019,110,110,31.618181818181817,8.0,3478.0,5.050454545454545,555.55,73.50909090909092,8086.0,0.36363636363636365,0.0
none,2020,139,139,26.25179856115108,8.0,3649.0,6.323381294964029,878.95,72.23741007194245,10041.0,0.4460431654676259,0.0
none,2021,139,139,28.81294964028777,8.0,4005.0,11.333453237410069,1575.3499999999997,52.39568345323741,7283.0,0.5251798561151079,0.0
none,2022,175,175,15.82857142857143,6.0,2770.0,6.743999999999998,1180.1999999999996,35.65714285714286,6240.0,0.5028571428571429,0.0
none,2023,210,210,13.228571428571428,4.0,2778.0,3.714285714285715,780.0000000000001,27.033333333333335,5677.0,0.48095238095238096,0.0
none,2024,250,250,12.232,3.0,3058.0,5.626799999999998,1406.6999999999994,25.02,6255.0,0.536,0.0
none,2025,251,251,1.7290836653386454,0.0,434.0,3.1229083665338626,783.8499999999996,8.302788844621514,2084.0,0.398406374501992,0.0
none,2026,21,21,0.5714285714285714,0.0,12.0,0.5023809523809524,10.55,5.9523809523809526,125.0,0.19047619047619047,0.0
